label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
YUM SIK ASSOCIATION,YUM SIK ASSOCIATION,majorDestination,YUM SIK ASSOCIATION,,,,,,1,true
一田百貨-大埔,一田百貨-大埔,majorDestination,一田百貨-大埔,,,,,,1,true
三號碼頭花園,三號碼頭花園,majorDestination,三號碼頭花園,,,,,,1,true
三號花園,三號花園,majorDestination,三號花園,,,,,,1,true
三陂坊,三陂坊,majorDestination,三陂坊,,,,,,1,true
上村公園,上村公園,majorDestination,上村公園,,,,,,1,true
上水就業中心,上水就業中心,majorDestination,上水就業中心,,,,,,1,true
上水廣場,上水廣場,majorDestination,上水廣場,,,,,,1,true
上水鄉籃球場,上水鄉籃球場,majorDestination,上水鄉籃球場,,,,,,1,true
上環服務中心,上環服務中心,majorDestination,上環服務中心,,,,,,1,true
上真閣,上真閣,majorDestination,上真閣,,,,,,1,true
下灣村籃球場,下灣村籃球場,majorDestination,下灣村籃球場,,,,,,1,true
下葵涌,下葵涌,majorDestination,下葵涌,,,,,,1,true
世紀大廈,世紀大廈,majorDestination,世紀大廈,,,,,,1,true
世紀村,世紀村,majorDestination,世紀村,,,,,,1,true
中區政府碼頭,中區政府碼頭,majorDestination,中區政府碼頭,,,,,,1,true
中區警區警察服務中心,中區警區警察服務中心,majorDestination,中區警區警察服務中心,,,,,,1,true
中區警察服務中心,中區警察服務中心,majorDestination,中區警察服務中心,,,,,,1,true
中國會,中國會,majorDestination,中國會,,,,,,1,true
中國石油-九龍城,中國石油-九龍城,majorDestination,中國石油-九龍城,,,,,,1,true
中國銀行大廈,中國銀行大廈,majorDestination,中國銀行大廈,,,,,,1,true
中天廔,中天廔,majorDestination,中天廔,,,,,,1,true
中山紀念公園 (指定位置),中山紀念公園 (指定位置),majorDestination,中山紀念公園 (指定位置),,,,,,1,true
中旅閣,中旅閣,majorDestination,中旅閣,,,,,,1,true
中灣,中灣,majorDestination,中灣,,,,,,1,true
中灣泳灘,中灣泳灘,majorDestination,中灣泳灘,,,,,,1,true
中環4號碼頭,中環4號碼頭,majorDestination,中環4號碼頭,,,,,,1,true
中環5號碼頭,中環5號碼頭,majorDestination,中環5號碼頭,,,,,,1,true
中環中心,中環中心,majorDestination,中環中心,,,,,,1,true
中聖書院,中聖書院,majorDestination,中聖書院,,,,,,1,true
中興樓,中興樓,majorDestination,中興樓,,,,,,1,true
中華大廈,中華大廈,majorDestination,中華大廈,,,,,,1,true
中華文化會,中華文化會,majorDestination,中華文化會,,,,,,1,true
中西區,中西區,majorDestination,中西區,,,,,,1,true
中西區地區康健中心 (主中心),中西區地區康健中心 (主中心),majorDestination,中西區地區康健中心 (主中心),,,,,,1,true
中西區地區康健中心 - 主中心,中西區地區康健中心 - 主中心,majorDestination,中西區地區康健中心 - 主中心,,,,,,1,true
中西區地區康健中心 - 附屬中心 -西環,中西區地區康健中心 - 附屬中心 -西環,majorDestination,中西區地區康健中心 - 附屬中心 -西環,,,,,,1,true
中西區海濱長廊 - 中環段 (向中環碼頭),中西區海濱長廊 - 中環段 (向中環碼頭),majorDestination,中西區海濱長廊 - 中環段 (向中環碼頭),,,,,,1,true
中西區海濱長廊——上環段,中西區海濱長廊——上環段,majorDestination,中西區海濱長廊——上環段,,,,,,1,true
中西區海濱長廊——中環段,中西區海濱長廊——中環段,majorDestination,中西區海濱長廊——中環段,,,,,,1,true
中西區海濱長廊——中環段 (指定位置),中西區海濱長廊——中環段 (指定位置),majorDestination,中西區海濱長廊——中環段 (指定位置),,,,,,1,true
中西區海濱長廊（中環段）,中西區海濱長廊（中環段）,majorDestination,中西區海濱長廊（中環段）,,,,,,1,true
中西區長者地區中心,中西區長者地區中心,majorDestination,中西區長者地區中心,,,,,,1,true
中西區長者日間護理中心,中西區長者日間護理中心,majorDestination,中西區長者日間護理中心,,,,,,1,true
中銀信用卡中心,中銀信用卡中心,majorDestination,中銀信用卡中心,,,,,,1,true
中銀大廈,中銀大廈,majorDestination,中銀大廈,,,,,,1,true
丰滙第一座,丰滙第一座,majorDestination,丰滙第一座,,,,,,1,true
丰滙第三座,丰滙第三座,majorDestination,丰滙第三座,,,,,,1,true
丰滙第二座,丰滙第二座,majorDestination,丰滙第二座,,,,,,1,true
