2026-04-11
,,,,,,,,,,,,,,,,,,,,,,,
PoleId,ParkingSpaceId,Region,Region_tc,Region_sc,District,District_tc,District_sc,SubDistrict,SubDistrict_tc,SubDistrict_sc,Street,Street_tc,Street_sc,SectionOfStreet,SectionOfStreet_tc,SectionOfStreet_sc,Latitude,Longitude,VehicleType,LPP,OperatingPeriod,TimeUnit,PaymentUnit
10058,10058A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,PEI HO STREET,北河街,北河街,HAI TAN STREET,海壇街,海坛街,22.32769375453728,114.1602738836507,A,30,D,15,4.00
10058,10058B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,PEI HO STREET,北河街,北河街,HAI TAN STREET,海壇街,海坛街,22.32766113656577,114.1602434545851,A,30,D,15,4.00
10059,10059A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,PEI HO STREET,北河街,北河街,HAI TAN STREET,海壇街,海坛街,22.32761597431594,114.1602053219705,A,30,D,15,4.00
10059,10059B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,PEI HO STREET,北河街,北河街,HAI TAN STREET,海壇街,海坛街,22.32757977189423,114.1601729675868,A,30,D,15,4.00
1006,1006B,HONG KONG,香港島,香港岛,WAN CHAI,灣仔,湾仔,TAI HANG,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.2764926,114.1950633,C,120,3D,15,2.00
10072,10072A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.33258481544086,114.1631815324937,A,60,D,15,4.00
10073,10073A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.332662475273,114.1632515115854,A,60,D,15,4.00
10073,10073B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.33262782670786,114.1632187687676,A,60,D,15,4.00
10074,10074A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.33274192674108,114.1633214896115,A,60,D,15,4.00
10074,10074B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,KWEILIN STREET,桂林街,桂林街,CASTLE PEAK ROAD,青山道,青山道,22.33270847421457,114.1632932409321,A,60,D,15,4.00
