label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
中西區海濱長廊——上環段,中西區海濱長廊——上環段,majorDestination,中西區海濱長廊——上環段,,,,,,1,true
中西區海濱長廊——中環段,中西區海濱長廊——中環段,majorDestination,中西區海濱長廊——中環段,,,,,,1,true
中西區海濱長廊——中環段 (指定位置),中西區海濱長廊——中環段 (指定位置),majorDestination,中西區海濱長廊——中環段 (指定位置),,,,,,1,true
中西區海濱長廊（中環段）,中西區海濱長廊（中環段）,majorDestination,中西區海濱長廊（中環段）,,,,,,1,true
中西區長者地區中心,中西區長者地區中心,majorDestination,中西區長者地區中心,,,,,,1,true
中西區長者日間護理中心,中西區長者日間護理中心,majorDestination,中西區長者日間護理中心,,,,,,1,true
中銀信用卡中心,中銀信用卡中心,majorDestination,中銀信用卡中心,,,,,,1,true
中銀大廈,中銀大廈,majorDestination,中銀大廈,,,,,,1,true
丰滙第一座,丰滙第一座,majorDestination,丰滙第一座,,,,,,1,true
丰滙第三座,丰滙第三座,majorDestination,丰滙第三座,,,,,,1,true
丰滙第二座,丰滙第二座,majorDestination,丰滙第二座,,,,,,1,true
丹木町酒店,丹木町酒店,majorDestination,丹木町酒店,,,,,,1,true
主恩軒,主恩軒,majorDestination,主恩軒,,,,,,1,true
九號貨櫃碼頭,九號貨櫃碼頭,majorDestination,九號貨櫃碼頭,,,,,,1,true
九龍三育中學（周氏分校）,九龍三育中學（周氏分校）,majorDestination,九龍三育中學（周氏分校）,,,,,,1,true
九龍城公共圖書館,九龍城公共圖書館,majorDestination,九龍城公共圖書館,,,,,,1,true
九龍城分區警署,九龍城分區警署,majorDestination,九龍城分區警署,,,,,,1,true
九龍城區日間護理單位(附設於陳昆棟頤養之家護理安老院),九龍城區日間護理單位(附設於陳昆棟頤養之家護理安老院),majorDestination,九龍城區日間護理單位(附設於陳昆棟頤養之家護理安老院),,,,,,1,true
九龍城廣場,九龍城廣場,majorDestination,九龍城廣場,,,,,,1,true
九龍城感化及社會服務令辦事處,九龍城感化及社會服務令辦事處,majorDestination,九龍城感化及社會服務令辦事處,,,,,,1,true
九龍城感化及社會服務令辦事處 (分處),九龍城感化及社會服務令辦事處 (分處),majorDestination,九龍城感化及社會服務令辦事處 (分處),,,,,,1,true
九龍城政府合署,九龍城政府合署,majorDestination,九龍城政府合署,,,,,,1,true
九龍城活齡中心,九龍城活齡中心,majorDestination,九龍城活齡中心,,,,,,1,true
九龍城浸信會幼稚園 (K324078A),九龍城浸信會幼稚園 (K324078A),majorDestination,九龍城浸信會幼稚園 (K324078A),,,,,,1,true
九龍城綜合家居照顧服務隊,九龍城綜合家居照顧服務隊,majorDestination,九龍城綜合家居照顧服務隊,,,,,,1,true
九龍城裁判法院,九龍城裁判法院,majorDestination,九龍城裁判法院,,,,,,1,true
九龍城體育館,九龍城體育館,majorDestination,九龍城體育館,,,,,,1,true
九龍城體育館 - 近男洗手間,九龍城體育館 - 近男洗手間,majorDestination,九龍城體育館 - 近男洗手間,,,,,,1,true
九龍寨城公園,九龍寨城公園,majorDestination,九龍寨城公園,,,,,,1,true
九龍寨城公園 - 近洗手間,九龍寨城公園 - 近洗手間,majorDestination,九龍寨城公園 - 近洗手間,,,,,,1,true
九龍寨城南門遺蹟,九龍寨城南門遺蹟,majorDestination,九龍寨城南門遺蹟,,,,,,1,true
九龍寨城遺址,九龍寨城遺址,majorDestination,九龍寨城遺址,,,,,,1,true
九龍海逸君綽酒店,九龍海逸君綽酒店,majorDestination,九龍海逸君綽酒店,,,,,,1,true
九龍灣體育館,九龍灣體育館,majorDestination,九龍灣體育館,,,,,,1,true
九龍酒店,九龍酒店,majorDestination,九龍酒店,,,,,,1,true
